/home/user/ws/matcher/matcher_test.go:114:18 - Unknown word (globber) Suggestions: [glibber, clobber, slobber, lobber, globed]
/home/user/ws/matcher/matcher_test.go:129:8 - Unknown word (Globber) Suggestions: [Glibber, Clobber, Slobber, Lobber, Globed]
/home/user/ws/matcher/matcher_test.go:133:85 - Unknown word (globber) Suggestions: [glibber, clobber, slobber, lobber, globed]
/home/user/ws/matcher/matcher_test.go:134:10 - Unknown word (Globber) Suggestions: [Glibber, Clobber, Slobber, Lobber, Globed]
/home/user/ws/matcher/matcher_test.go:172:23 - Unknown word (Globber) Suggestions: [Glibber, Clobber, Slobber, Lobber, Globed]
/home/user/ws/matcher/matcher.go:10:14 - Unknown word (bmatcuk) Suggestions: [amateur, beatnik, imatmul, batch, battue]
/home/user/ws/matcher/matcher.go:18:4 - Unknown word (Globber) Suggestions: [Glibber, Clobber, Slobber, Lobber, Globed]
/home/user/ws/matcher/matcher.go:20:6 - Unknown word (Globber) Suggestions: [Glibber, Clobber, Slobber, Lobber, Globed]
/home/user/ws/matcher/matcher.go:31:43 - Unknown word (Globber) Suggestions: [Glibber, Clobber, Slobber, Lobber, Globed]
/home/user/ws/matcher/matcher.go:32:10 - Unknown word (Globber) Suggestions: [Glibber, Clobber, Slobber, Lobber, Globed]
/home/user/ws/matcher/matcher.go:40:18 - Unknown word (Globber) Suggestions: [Glibber, Clobber, Slobber, Lobber, Globed]
/home/user/ws/matcher/matching_bf_test.go:8:14 - Unknown word (stretchr) Suggestions: [stretchy, stretcher, stretch, stretchers, stretched]
/home/user/ws/matcher/matching_bf_test.go:9:14 - Unknown word (stretchr) Suggestions: [stretchy, stretcher, stretch, stretchers, stretched]
/home/user/ws/matcher/matching_bf_test.go:15:44 - Unknown word (nolint) Suggestions: [online, noland, nolan, norina, nosing]
/home/user/ws/matcher/matching_bf_test.go:21:15 - Unknown word (Unpatch) Suggestions: [Unlatch, Unmatch, Unwatch, Unpatched, Unpack]
/home/user/ws/matcher/utils_internal_test.go:6:14 - Unknown word (stretchr) Suggestions: [stretchy, stretcher, stretch, stretchers, stretched]
/home/user/ws/matcher/utils.go:8:22 - Unknown word (godoc) Suggestions: [gdoc, goode, goods, goody, good]
/home/user/ws/matcher/utils.go:9:22 - Unknown word (godoc) Suggestions: [gdoc, goode, goods, goody, good]
/home/user/ws/matcher/utils.go:11:14 - Unknown word (bmatcuk) Suggestions: [amateur, beatnik, imatmul, batch, battue]
/home/user/ws/trailing/trailing_bf_test.go:6:14 - Unknown word (stretchr) Suggestions: [stretchy, stretcher, stretch, stretchers, stretched]
/home/user/ws/trailing/trailing_bf_test.go:8:14 - Unknown word (idelchi) Suggestions: [delphi, delhi, Delhi, idec, delphic]
/home/user/ws/trailing/trailing_bf_test.go:8:22 - Unknown word (wslint) Suggestions: [eslint, jslint, tslint, waling, wiling]
/home/user/ws/trailing/trailing_test.go:9:14 - Unknown word (stretchr) Suggestions: [stretchy, stretcher, stretch, stretchers, stretched]
/home/user/ws/trailing/trailing_test.go:11:14 - Unknown word (idelchi) Suggestions: [delphi, delhi, Delhi, idec, delphic]
/home/user/ws/trailing/trailing_test.go:11:22 - Unknown word (wslint) Suggestions: [eslint, jslint, tslint, waling, wiling]
